    Temper          r      Ro      GRR        T   lambda        Dt
261  26.95 0.14132493 16.0023 55.15336 19.61956 1.151799  4.904635
262  27.00 0.14120824 15.7944 55.81868 19.54316 1.151664  4.908688
263  27.05 0.14107519 15.5809 55.53103 19.46512 1.151511  4.913317
264  27.10 0.14092672 15.3727 54.90540 19.39017 1.151340  4.918494
265  27.15 0.14076466 15.1648 54.52308 19.31576 1.151154  4.924156
266  27.20 0.14058629 14.9564 53.89036 19.24184 1.150948  4.930404
267  27.25 0.14039056 14.7477 52.27426 19.16858 1.150723  4.937278
268  27.30 0.14017968 14.5392 52.81333 19.09584 1.150480  4.944705
269  27.35 0.13995018 14.3256 53.59664 19.02140 1.150216  4.952814
270  27.40 0.13970776 14.1178 51.86480 18.94982 1.149938  4.961408
271  27.45 0.13944707 13.9100 51.33481 18.87891 1.149638  4.970683
272  27.50 0.13916847 13.7018 50.82664 18.80833 1.149318  4.980634
273  27.55 0.13887376 13.4941 50.33054 18.73826 1.148979  4.991203
274  27.60 0.13855659 13.2812 49.24989 18.66638 1.148615  5.002629
275  27.65 0.13822369 13.0745 50.12413 18.59785 1.148232  5.014677
276  27.70 0.13787405 12.8685 49.99785 18.52983 1.147831  5.027394
277  27.75 0.13750205 12.6623 48.42237 18.46248 1.147404  5.040995
278  27.80 0.13819562 12.7003 47.88079 18.39151 1.148200  5.015696
279  27.85 0.13781060 12.4967 47.69176 18.32562 1.147758  5.029709
280  27.90 0.13740312 12.2887 45.93963 18.25781 1.147291  5.044625
281  27.95 0.13697692 12.0870 47.40900 18.19380 1.146802  5.060321
282  28.00 0.13653227 11.8860 46.59251 18.13023 1.146292  5.076801
283  28.05 0.13606004 11.6851 45.98974 18.06787 1.145751  5.094422
284  28.10 0.13556769 11.4852 45.10136 18.00620 1.145187  5.112923
285  28.15 0.13504869 11.2855 44.23209 17.94552 1.144593  5.132572
286  28.20 0.13450111 11.0817 43.11502 17.88309 1.143966  5.153468
287  28.25 0.13393422 10.8843 42.71254 17.82458 1.143318  5.175281
288  28.30 0.13334383 10.6881 43.38723 17.76708 1.142643  5.198195
289  28.35 0.13272584 10.4924 42.87388 17.71058 1.141937  5.222398
290  28.40 0.13208093 10.2974 42.89050 17.65502 1.141201  5.247897
291  28.45 0.13141100 10.1036 41.60792 17.60044 1.140436  5.274651
292  28.50 0.13071065  9.9103 41.17893 17.54696 1.139638  5.302913
293  28.55 0.12998122  9.7141 39.60211 17.49159 1.138807  5.332672
294  28.60 0.12922906  9.5239 39.31100 17.44038 1.137951  5.363710
295  28.65 0.12845105  9.3349 40.35781 17.38997 1.137066  5.396197
296  28.70 0.12764096  9.1467 39.46348 17.34078 1.136145  5.430445
297  28.75 0.12680279  8.9597 38.53514 17.29250 1.135193  5.466340
298  28.80 0.12593900  8.7742 38.83646 17.24498 1.134213  5.503832
299  28.85 0.12504554  8.5899 37.61945 17.19843 1.133200  5.543158
300  28.90 0.12411708  8.4028 36.52056 17.14965 1.132148  5.584624
301  28.95 0.12316570  8.2217 35.74715 17.10522 1.131072  5.627761
302  29.00 0.12218400  8.0420 36.31581 17.06179 1.129962  5.672978
303  29.05 0.12117488  7.8639 36.52579 17.01906 1.128822  5.720222
304  29.10 0.12013635  7.6872 35.82255 16.97702 1.127651  5.769671
305  29.15 0.11906699  7.5122 34.81804 16.93608 1.126445  5.821489
306  29.20 0.11796691  7.3385 34.66848 16.89571 1.125207  5.875776
307  29.25 0.11682346  7.1619 33.39785 16.85257 1.123921  5.933288
308  29.30 0.11566446  6.9924 32.91544 16.81436 1.122619  5.992741
309  29.35 0.11447642  6.8246 31.79804 16.77668 1.121286  6.054934
310  29.40 0.11325368  6.6583 31.21460 16.73998 1.119916  6.120306
311  29.45 0.11200088  6.4939 32.32387 16.70400 1.118514  6.188765
312  29.50 0.11071688  6.3314 31.71849 16.66883 1.117079  6.260538
313  29.55 0.10939788  6.1706 31.60448 16.63466 1.115606  6.336020
314  29.60 0.10804768  6.0117 30.53250 16.60107 1.114101  6.415197
315  29.65 0.10664951  5.8506 29.04285 16.56402 1.112544  6.499300
316  29.70 0.10523971  5.6966 29.38783 16.53244 1.110977  6.586365
317  29.75 0.10379101  5.5442 28.61750 16.50193 1.109369  6.678297
318  29.80 0.10231075  5.3941 27.98707 16.47242 1.107728  6.774920
319  29.85 0.10079672  5.2460 27.11915 16.44365 1.106052  6.876684
320  29.90 0.09924873  5.1001 27.39648 16.41593 1.104341  6.983940
321  29.95 0.09766667  4.9564 27.53465 16.38921 1.102595  7.097070
322  30.00 0.09605255  4.8151 27.10667 16.36351 1.100817  7.216333
323  30.05 0.09440187  4.6759 26.71776 16.33889 1.099001  7.342515
324  30.10 0.09268464  4.5345 25.76574 16.31031 1.097116  7.478555
325  30.15 0.09096978  4.4007 24.85677 16.28853 1.095236  7.619532
326  30.20 0.08921322  4.2688 24.96033 16.26814 1.093314  7.769557
327  30.25 0.08742226  4.1395 24.64583 16.24958 1.091357  7.928727
328  30.30 0.08559483  4.0124 23.79768 16.23217 1.089365  8.098002
329  30.35 0.08373150  3.8878 23.40096 16.21664 1.087337  8.278213
330  30.40 0.08183098  3.7656 23.50314 16.20300 1.085272  8.470474
331  30.45 0.07989551  3.6459 22.90199 16.19119 1.083174  8.675671
332  30.50 0.07791373  3.5283 22.89525 16.18221 1.081029  8.896342
333  30.55 0.07590763  3.4138 23.03436 16.17527 1.078863  9.131456
334  30.60 0.07386535  3.3018 22.10681 16.17088 1.076662  9.383928
335  30.65 0.07173007  3.1875 20.90455 16.16110 1.074365  9.663272
336  30.70 0.06961512  3.0808 20.82530 16.16300 1.072095  9.956848
337  30.75 0.06746548  2.9765 20.32350 16.16750 1.069793 10.274102
338  30.80 0.06527855  2.8746 19.72969 16.17551 1.067456 10.618300
339  30.85 0.06305564  2.7749 19.04863 16.18594 1.065086 10.992628
340  30.90 0.06081417  2.6782 19.18012 16.19927 1.062701 11.397790
341  30.95 0.05853796  2.5837 18.50166 16.21550 1.060285 11.840987
342  31.00 0.05026455  2.2623 17.79869 16.24170 1.051549 13.789980
